BRAND,PRICE,YEAR,MILEAGE,CONDITION
jeep,21100,2019,28649,10
chevrolet,18600,2017,35200,6
ford,4340,2017,25602,10
chrysler,19300,2019,34801,5
gmc,12780,2017,31009,10
jeep,15800,2019,35595,5
bmw,29400,2017,23765,5
ford,4430,2017,31792,4
chrysler,19400,2019,33135,6
gmc,12520,2017,30636,5
jeep,15900,2019,34502,8
buick,26400,2017,25434,7
ford,4140,2017,36732,10
chrysler,18300,2019,41792,5
gmc,12520,2017,31992,10
jeep,17900,2019,32501,6
chevrolet,18300,2017,28395,10
ford,4640,2017,36139,6
ford,24000,2016,84413,10
gmc,13200,2017,33457,9
jeep,18000,2019,29245,6
chevrolet,14900,2017,12783,5
ford,4140,2017,17617,4
ford,11500,2016,36855,6
ford,9110,2017,110316,8
chrysler,7350,2015,88227,8
bmw,24500,2017,17626,9
ford,9300,2017,120353,8
dodge,39800,2015,3641,8
bmw,53500,2017,29355,7
ford,15110,2017,39333,6
ford,34000,2015,42930,9
chevrolet,26502,2017,24993,6
ford,5990,2017,44929,8
ford,13600,2018,16971,7
cadillac,23605,2017,35598,6
ford,10780,2017,40455,8
ford,13800,2018,23164,7
cadillac,25201,2017,19011,7
ford,7070,2017,45191,9
ford,8700,2018,21405,5
chevrolet,18003,2017,19117,9
ford,8530,2017,42104,4
dodge,23100,2018,49496,6
cadillac,24500,2017,32418,10
ford,7000,2017,29882,8
ford,17000,2018,34819,5
chevrolet,34002,2017,31923,9
ford,6980,2017,29168,5
dodge,25000,2018,28307,8
chevrolet,20802,2017,33791,7
ford,9200,2017,21770,5
chrysler,26500,2017,18375,4
chevrolet,24802,2017,14158,9
ford,7070,2017,30318,5
ford,28500,2017,48086,4
cadillac,47500,2017,26562,10
ford,23500,2017,57611,8
chevrolet,23505,2017,47357,9
ford,10940,2017,84916,8
ford,32100,2017,24521,7
chevrolet,53000,2018,16105,7
ford,6830,2017,35888,8
dodge,11900,2017,59537,9
chevrolet,26414,2017,55222,10
dodge,4160,2018,32870,4
chevrolet,19405,2017,39687,6
dodge,5690,2018,47085,8
chrysler,25900,2017,32224,8
chevrolet,24005,2017,51293,10
dodge,5090,2018,42989,9
chrysler,19500,2017,31311,6
chevrolet,32012,2017,46091,8
dodge,6800,2016,49033,10
dodge,4260,2018,33957,4
dodge,7810,2008,177948,7
chevrolet,31802,2017,19845,6
dodge,7210,2018,38910,8
dodge,5550,2014,123660,5
chevrolet,28402,2017,31234,9
dodge,6800,2018,36767,5
cadillac,33300,2015,57932,5
dodge,10780,2018,19420,7
ford,6700,2014,204155,8
chevrolet,20000,2016,93493,6
chrysler,6440,2018,20942,7
ford,19900,2016,86826,10
chevrolet,37000,2015,45787,6
dodge,4040,2018,50765,8
ford,22300,2016,62774,9
chevrolet,31200,2011,76326,9
dodge,4290,2018,39029,10
ford,22800,2016,72885,8
cadillac,19002,2016,46467,4
dodge,4160,2018,6743,4
ford,18500,2016,33514,4
bmw,39000,2016,39917,10
dodge,6060,2018,32504,9
ford,28800,2016,77638,10
bmw,40000,2016,31727,5
dodge,6140,2018,52966,9
ford,21000,2016,24157,10
buick,20105,2016,51393,8
dodge,6760,2018,35461,9
ford,25800,2014,47055,8
bmw,39000,2016,33110,8
dodge,5470,2018,39721,8
ford,14600,2014,75785,4
chevrolet,24502,2016,33624,6
ford,15110,2017,42289,7
ford,7900,2014,79422,7
chevrolet,27305,2016,28844,8
ford,15290,2017,66582,5
ford,26500,2015,61436,7
chevrolet,25502,2016,58303,9
ford,7320,2017,55618,7
chevrolet,3800,2009,261648,5
chevrolet,24502,2016,33045,7
ford,4140,2017,40747,5
dodge,1400,2002,185460,7
cadillac,18402,2016,26667,5
ford,4160,2017,37176,5
chrysler,175,2000,231240,9
chevrolet,24503,2016,18006,7
ford,15840,2017,72445,6
ford,20500,2014,123355,7
chevrolet,21003,2016,44116,7
ford,4200,2017,60219,7
ford,17400,2011,135077,5
chevrolet,32001,2016,32058,10
ford,9820,2017,76858,6
ford,15700,2011,309564,4
chevrolet,31009,2016,33928,9
ford,3740,2017,90618,7
